Demonstrativo de Corretagem;;;;;;;;
Em:;18/10/2024 16:28;;;;;;;
;;;;;;;;
Filial:;VAREJO CONCESSIONARIA;;;;;;;
Corretor:;99008599 - WIZ CONSEG CORRETORA DE SEGUROS LTDA;;;;;;;
Estabelecimento:;53;;;;;;;
;;;;;;;;
Forma de Pagamento;Banco;Agencia;Conta Corrente;;;;;
CREDITO C/C;33 - SANTANDER;4515/;1XXXXXX5-X;;;;;
DOC nr.;Nr. Demonstrativo;Data de Pagto;;;;;;
352558;34;17/10/2024;;;;;;
;;;;;;;;
Totalizador;;;;;;;;
Total Bruto - R$;Desc. de Adiantamento - R$;Total Liquido - R$;IR - R$;ISS - R$;INSS - R$;Valor Liquido Pago - R$;;
203,52;0;203,52;0;4,07;0;199,45;;
;;;;;;;;
Marca;Segurado;Apolice;Endosso / Fatura;Parcela;Lancamento;Premio;% Comissao;Valor Comissao
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'01/12;PAGAMENTO;203,67;10;20,37
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'02/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'03/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'04/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'05/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'06/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'07/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'08/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'09/12;ANTECIPACAO;203,63;10;20,35
YELUM;TOTAL RENT A CAR LTDA;3,1002E+14;0;'10/12;ANTECIPACAO;203,63;10;20,35
